index,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_pop,genre,category
750,0gLy1JjZc7sUeMhBnHDmlF,36,Make Me Wanna,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,0,0.54,0.815,9,-6.385,1,0.0546,0.0405,0.0,0.10099999999999999,0.693,109.02,226600,3,80,contemporary country,country
751,15fZHvjZXoAILTvmt4EXIk,53,Who Are You When I'm Not Looking,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,0,0.41200000000000003,0.457,4,-9.142000000000001,1,0.0288,0.409,0.0187,0.0978,0.20199999999999999,74.824,187733,4,79,contemporary country,country
752,2usybbJIyVPm1aeGK2bitr,45,Don't You Wanna Stay (with Kelly Clarkson),Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,1,0.45,0.634,11,-4.814,1,0.0308,0.0985,0.0,0.0883,0.13,143.75,256440,4,80,contemporary country,country
753,2J44STu3iMc8eIf6OgLLdI,0,Let Me Down Easy,Billy Currington,1By9QBFnjZAoI83BZppHlt,0,0.606,0.49700000000000005,1,-5.005,1,0.0278,0.361,0.0,0.106,0.18,125.059,228493,4,71,contemporary country,country
754,5FVuERsYqtKKAaWe62NBnv,57,Mean to Me,Brett Eldredge,0qSX3s5pJnAlSsgsCne8Cz,0,0.647,0.586,0,-6.882999999999999,1,0.0313,0.115,1.69e-06,0.121,0.165,87.994,228907,4,69,adult standards,country
755,48ZRLATttK61gVJrCb7ZFi,0,This,Darius Rucker,7FY5V3XMwlNBPitEjXowHQ,0,0.627,0.838,4,-4.954,1,0.0328,0.10099999999999999,0.0,0.153,0.693,99.90299999999999,218867,4,71,contemporary country,country
756,2gfR8S7fa8fsFxSNAr4OFG,38,Here's To The Good Times,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,0,0.525,0.9329999999999999,9,-3.6519999999999997,1,0.038,0.0212,0.0,0.0712,0.653,142.07299999999998,249293,4,84,contemporary country,country
757,5FIp4LrsffxiHLhmmpCbCx,62,A Little Bit Stronger,Sara Evans,7qvsLYsYP0MHD7jkdv6DAG,0,0.536,0.65,2,-5.603,1,0.0337,0.282,1.16e-06,0.0876,0.28800000000000003,147.93,301987,4,60,contemporary country,country
758,6Lc3F5h5UHGXbYM8zbFbLN,37,Long Hot Summer,Keith Urban,0u2FHSq3ln94y5Q57xazwf,0,0.657,0.7829999999999999,3,-8.414,1,0.0394,0.0306,4.09e-06,0.0938,0.762,127.986,273587,4,76,australian country,country
759,6KSKsSIH7nEiHCCLTqje41,0,Are You Gonna Kiss Me or Not,Thompson Square,0Bvs8yPjrQSbmVIRqSg1Sp,0,0.483,0.705,8,-3.781,1,0.0296,0.0422,0.0,0.09699999999999999,0.601,151.941,185493,4,57,contemporary country,country
760,57gS5wJqIH6sbtBIIiioNY,51,Gonna,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,0,0.667,0.8859999999999999,4,-5.12,1,0.0387,0.0265,0.0,0.0759,0.948,146.076,182947,4,79,contemporary country,country
761,4amvcCLMlTiU6mQfwFGRl8,46,21,Hunter Hayes,7H6dkUChT5EoOQtUVMg4cN,0,0.501,0.9,11,-4.3660000000000005,1,0.0433,0.0586,0.0,0.218,0.943,160.096,194480,4,70,contemporary country,country
763,03IdmP4frla6BCFZH6rkaF,44,God Gave Me You,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,0,0.483,0.8440000000000001,2,-5.043,1,0.0314,0.00481,7.290000000000001e-05,0.405,0.5429999999999999,151.977,229533,4,79,contemporary country,country
764,4ABua0yuWcpTotImEEJTaw,60,Remind Me (with Carrie Underwood),Brad Paisley,13YmWQJFwgZrd4bf5IjMY4,1,0.485,0.726,5,-4.2,1,0.0327,0.0603,1.75e-05,0.225,0.28800000000000003,140.781,271907,4,72,contemporary country,country
765,3CrmgANkKOSLPl2uHTqzKl,40,Get Me Some Of That,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,0,0.45299999999999996,0.865,6,-5.315,1,0.0664,0.0753,0.0,0.24600000000000002,0.773,176.162,189360,4,80,contemporary country,country
766,5BhsEd82G0Mnim0IUH6xkT,56,Cruise,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,0,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,4,84,contemporary country,country
767,203lAMNjyNvuFUHXUxh3hI,53,Colder Weather,Zac Brown Band,6yJCxee7QumYr820xdIsjo,0,0.667,0.381,3,-7.494,1,0.0294,0.45799999999999996,0.0,0.11599999999999999,0.19899999999999998,135.97899999999998,273893,4,77,contemporary country,country
768,3Qe097eJNp9MfpT2PieEw0,59,Don't Ya,Brett Eldredge,0qSX3s5pJnAlSsgsCne8Cz,0,0.537,0.693,9,-5.256,1,0.0847,0.0566,0.0,0.146,0.581,176.00400000000002,181210,4,69,adult standards,country
769,2G634xynj7ev8r5c0sAL3T,48,Tip It On Back,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,0,0.503,0.78,3,-5.148,1,0.0323,0.522,0.16,0.138,0.737,137.936,206520,4,74,contemporary country,country
770,6OFW4NMvit2vYUp8q3leoN,42,Kick It In The Sticks,Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,0,0.493,0.843,8,-5.9239999999999995,0,0.0707,0.00507,0.0,0.114,0.523,158.028,226760,4,74,contemporary country,country
771,40Kv5cQjERTfkMym9yrpt1,35,If Heaven Wasn't So Far Away,Justin Moore,30e8DmahrEamvLbFRPdWmk,0,0.465,0.638,11,-6.055,1,0.0294,0.0501,0.0,0.128,0.415,75.33,227093,4,69,arkansas country,country
772,4hehc7frdglMuDiMKEDH9B,28,You Gonna Fly,Keith Urban,0u2FHSq3ln94y5Q57xazwf,0,0.457,0.84,4,-8.535,1,0.0427,0.057,0.0,0.293,0.838,177.28,216867,4,76,australian country,country
773,2RcD9NEwhYK4HD2BgTuz48,36,Tell Me How You Like It,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,0,0.37,0.8270000000000001,10,-4.098,0,0.0307,0.0251,7.45e-06,0.16,0.436,173.993,225653,4,84,contemporary country,country
774,5vuMtXS5kQ7F0o9V9rG1dG,63,The Long Way,Brett Eldredge,0qSX3s5pJnAlSsgsCne8Cz,0,0.488,0.637,10,-7.63,1,0.0401,0.265,0.0,0.106,0.23,88.865,208720,4,69,adult standards,country
775,40EHxlkXxnQEdFxIGOQp1g,1,Star Of The Show,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,0,0.691,0.629,7,-5.827999999999999,1,0.0275,0.11900000000000001,0.0,0.16899999999999998,0.606,102.001,181200,4,80,contemporary country,country
776,20DfkHC5grnKNJCzZQB6KC,58,Good Girl,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,0,0.617,0.8390000000000001,0,-2.8489999999999998,0,0.0655,0.0286,0.0,0.19,0.741,128.91,205560,4,76,contemporary country,country
777,31OLRpkgpIH6a1VmVi2bpd,35,Just A Kiss,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,0,0.564,0.623,1,-7.247999999999999,1,0.0318,0.39899999999999997,0.0,0.0914,0.307,145.047,214440,4,76,contemporary country,country
778,2yWtLaPCOUDyi7f1lOXCn5,56,Anywhere With You,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,0,0.475,0.9359999999999999,5,-2.545,1,0.0413,0.0418,0.0,0.0873,0.598,151.988,209587,4,72,contemporary country,country
779,6q5nAr2JniAHj1gKheejE0,48,Home,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,0,0.61,0.69,11,-7.157,1,0.0378,0.46299999999999997,0.0409,0.0842,0.462,118.038,238413,4,74,contemporary country,country
780,1nDNEq5aNcSnyCoFU9cOhS,0,Even If It Breaks Your Heart,Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,0,0.6659999999999999,0.541,0,-4.5489999999999995,1,0.027999999999999997,0.00017900000000000001,0.0215,0.0973,0.6409999999999999,104.036,220520,4,69,contemporary country,country
