track_ids,track_pop,track_name,artist,artist_ids,featured_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_pop,genre,category
1Wfe6IKCZDWqKSXNmn2tvt,68,Gasolina (feat. Gambi),Hamza,5gs4Sm2WQUkcGeikMcVHbh,1,0.951,0.611,2,-7.875,0,0.188,0.285,0.000296,0.117,0.7240000000000001,129.999,179385,4,73,belgian hip hop,pop
5BfCoUcWNXcpyJfjXRIeyC,79,Moulaga,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,1,0.71,0.6990000000000001,7,-4.664,0,0.1,0.327,4.64e-06,0.0975,0.484,125.051,179868,4,80,french hip hop,pop
0kp0ovTvyYUdoexEt7AcoL,76,Ne reviens pas,Gradur,2tcoLkA9Hexz70Kuc1NTUl,1,0.932,0.762,10,-3.3760000000000003,0,0.0747,0.222,0.0,0.16399999999999998,0.931,124.975,188613,4,75,french hip hop,pop
4zULM3R99kAHqJkJDCIR4C,65,Combien,Kaza,4MRRW42s9ymwa5zu4xTKJh,0,0.667,0.634,4,-6.977,0,0.0534,0.0498,0.0,0.201,0.423,159.091,197933,4,65,french hip hop,pop
0kzGjSRHGVcaWxagzQwAyD,67,Bando,ANNA,7K80yOTC0Id95gRaOxDG5u,0,0.97,0.7390000000000001,10,-4.917,0,0.295,0.155,0.0,0.111,0.414,120.061,168000,4,58,,pop
1cg6IqyZgBCU6P34gY161z,33,Na Na Na,Holden,3XTUciJcdix4GkO9YoBdtP,0,0.496,0.632,10,-7.94,0,0.276,0.393,0.0,0.359,0.532,53.808,126569,4,63,italian arena pop,pop
2p37Mfy2PWajgOS3i2aaep,66,"U Say (feat. Tyler, The Creator & Jay Prince)",GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,1,0.926,0.68,2,-7.689,1,0.196,0.0471,0.000125,0.119,0.458,114.981,201240,4,76,alternative r&b,pop
4TnjEaWOeW0eKTKIEvJyCa,97,Falling,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,0,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,4,88,alternative r&b,pop
3Vc8vnid3noqupe9PvUKxP,68,Dizeres,Lourena,3jLj1sAQaEpLpktyJmyGIh,1,0.8320000000000001,0.484,10,-4.06,1,0.189,0.665,1.02e-05,0.0822,0.83,142.111,257646,4,67,r&b brasileiro,pop
0CmoisdB4maBgLV5MajnL4,69,"No Service In The Hills (feat. Trippie Redd, Blackbear, PRINCE$$ ROSIE)",Cheat Codes,7DMveApC7UnC2NPfPvlHSU,1,0.542,0.7390000000000001,7,-4.857,1,0.0395,0.00445,0.0,0.306,0.338,156.07399999999996,153764,4,82,dance pop,pop
